4286,3623,False,6.095325000000000
3039,3045,False,5.7907070000000003
3700,85984,False,5.796366000000000,,,,
3070,3069,False,5.8545829999999999,,,,,
27925,27925,True,5.780087000000000,,,,,
3004,85984,False,5.845288000000000,,,,,
85984,85984,True,5.817673000000000,,,,,
85984,3023,False,5.865804000000000,,,,,
2420,2420,True,5.84687400000000,,,,,
3038,3039,False,5.96380100000000,,,,,
3023,3023,True,5.852407000000000,,,,,
33909,3023,False,5.939428000000000,,,,,
41678,41678,True,5.926030000000000,,,,,
3037,3039,False,5.992510000000000,,,,,
41678,3068,False,5.903093000000000,,,,,
3623,3023,False,6.176528000000000,,,,,
6632,6632,True,5.9891740000000002,,,,,
3794,3794,True,6.042574000000000,,,,,
3024,3024,True,6.4428859999999997,,,,,
3063,3622,False,6.608342000000000,,,,,
3005,3005,True,6.509647000000000,,,,,
3020,3001,False,6.6494359999999997,,,,,
41677,41677,True,6.395105000000000,,,,,
2780,43093,False,6.425840000000000,,,,,
54200,54200,True,6.393223000000000,,,,,
33909,3068,False,6.483215000000000,,,,,
3003,3003,True,6.5062030000000002,,,,,
4490,3700,False,8.155912000000001,,,,,
3659,3659,True,7.360958000000000,,,,,
4274,4274,True,7.412603000000000,,,,,
3069,3070,False,7.631564000000000,,,,,
3024,3024,True,7.688836000000000,,,,,
3045,3045,True,7.514716000000000,,,,,
3070,3070,True,7.497920000000000,,,,,
6143,6143,True,7.59553100000000,,,,,
3046,3045,False,8.770611000000001,,,,,
3005,3005,True,9.186532000000000,,,,,
3004,3004,True,9.254527000000000,,,,,
3023,3023,True,8.719468000000001,,,,,
3021,3021,True,9.07095700000000,,,,,
3622,3622,True,9.145918000000000,,,,,
3022,3022,True,8.746435999999999,,,,,
3069,3069,True,8.73841100000000,,,,,
3038,3002,False,8.822139999999999,,,,,
99301,99301,True,8.894569000000001,,,,,
3675,3298,False,8.852176000000000,,,,,
3005,3005,True,8.561608000000000,,,,,
3039,3046,False,8.667242999999999,,,,,
41677,41677,True,8.540808000000000,,,,,
54200,54200,True,8.578579000000000,,,,,
4490,3622,False,8.762883000000000,,,,,
54200,54200,True,8.820658000000000,,,,,
6632,41677,False,8.846232000000001,,,,,
41677,4150,False,9.102696000000000,,,,,
3005,3005,True,8.817981000000000,,,,,
3623,3024,False,8.621985000000000,,,,,
3623,3623,True,8.620001000000000,,,,,
3004,3700,False,8.724621000000001,,,,,
3068,3068,True,8.634691000000000,,,,,
6143,6143,True,8.671851999999999,,,,,
3002,3002,True,8.85283400000000,,,,,
3038,3038,True,8.980332000000001,,,,,
3010,3010,True,8.695251000000001,,,,,
3023,3069,False,8.627215000000000,,,,,
41678,43857,False,8.610317999999999,,,,,
3010,3659,False,8.652393000000000,,,,,
3675,3675,True,8.690490000000000,,,,,
3005,3005,True,8.518485000000000,,,,,
4286,4286,True,8.62768000000000,,,,,
3063,3063,True,8.670958000000001,,,,,
3003,3002,False,8.943870000000000,,,,,
3700,3069,False,8.859330999999999,,,,,
3021,3021,True,8.706690000000000,,,,,
3045,3045,True,8.702659000000001,,,,,
3037,3037,True,8.803108000000000,,,,,
3623,3623,True,8.887141000000000,,,,,
27925,3069,False,8.781431000000000,,,,,
3062,3062,True,8.599722000000000,,,,,
15672,15672,True,8.606256999999999,,,,,
3038,3622,False,8.687389000000000,,,,,
2420,15672,False,8.805346000000000,,,,,
54200,3070,False,8.589273000000000,,,,,
4286,3623,False,8.89395000000000,,,,,
14719,2420,False,8.561095999999999,,,,,
3037,3010,False,8.796770000000000,,,,,
4490,3622,False,8.68254600000000,,,,,
18654,18654,True,8.585018000000000,,,,,
3039,3039,True,8.718055000000000,,,,,
4274,4274,True,8.63773000000000,,,,,
99301,3675,False,8.893290000000000,,,,,
2420,3623,False,8.668410000000000,,,,,
3622,3622,True,8.90444300000000,,,,,
3001,3001,True,9.034549999999999,,,,,
6143,6143,True,8.722512000000000,,,,,
3001,3037,False,8.908222000000000,,,,,
3046,3039,False,8.688188999999999,,,,,
4286,4286,True,8.639868999999999,,,,,
3024,54200,False,8.653157000000000,,,,,
3700,3004,False,8.676424000000001,,,,,
4274,4274,True,8.525238000000000,,,,,
3002,3002,True,8.80682900000000,,,,,
3039,3046,False,8.9496330000000,,,,,
4150,4150,True,9.05587400000000,,,,,
3039,3045,False,8.989433000000000,,,,,
3045,3045,True,8.997451000000000,,,,,
3020,3020,True,9.11383300000000,,,,,
3298,4286,False,9.036676000000000,,,,,
4274,4274,True,8.845981000000000,,,,,
3063,3004,False,8.815187000000000,,,,,
15672,15672,True,8.576200000000000,,,,,
6143,6143,True,8.646015999999999,,,,,
43857,43857,True,8.584422999999999,,,,,
3038,3038,True,8.674033000000000,,,,,
3046,33909,False,8.91102400000000,,,,,
3700,4150,False,8.777791000000001,,,,,
2780,2780,True,8.645614999999999,,,,,
3298,3298,True,8.723597000000000,,,,,
3068,33909,False,8.703522000000000,,,,,
3622,3063,False,8.6332370000000,,,,,
18654,18654,True,8.55475900000000,,,,,
99301,99301,True,8.854431999999999,,,,,
2420,2420,True,8.59874200000000,,,,,
6143,6143,True,8.688881000000000,,,,,
3069,4150,False,8.562906999999999,,,,,
3038,3038,True,8.92104200000000,,,,,
3010,3010,True,8.823361999999999,,,,,
3023,3794,False,8.658749000000000,,,,,
2357,2357,True,8.824063000000001,,,,,
3063,3063,True,8.6922130000000,,,,,
3039,3037,False,8.72532600000000,,,,,
4274,4274,True,8.86970800000000,,,,,
2780,2780,True,8.87043600000000,,,,,
3039,3045,False,8.875925000000001,,,,,
6632,6632,True,8.603484999999999,,,,,
3622,4490,False,8.903979000000000,,,,,
3001,3001,True,8.99544600000000,,,,,
15672,15672,True,8.579768000000000,,,,,
4150,4150,True,8.616863000000000,,,,,
2780,2780,True,8.53012800000000,,,,,
99301,99301,True,8.876395000000000,,,,,
3022,33909,False,8.645769000000000,,,,,
3010,3010,True,8.931664000000000,,,,,
3623,3623,True,8.844868999999999,,,,,
3021,3020,False,8.683745000000000,,,,,
3045,3045,True,8.553943000000000,,,,,
3063,27925,False,8.697417000000000,,,,,
3001,3001,True,8.669981000000000,,,,,
3700,3700,True,8.634009000000001,,,,,
3001,3001,True,8.822297000000001,,,,,
3046,2357,False,8.612499000000000,,,,,
3068,3069,False,8.553974999999999,,,,,
3062,3062,True,8.522292999999999,,,,,
3022,3021,False,8.551195000000000,,,,,
3659,4490,False,8.670881000000000,,,,,
3046,2357,False,8.601443000000000,,,,,
3659,3659,True,8.746186000000000,,,,,
3068,3068,True,8.804615999999999,,,,,
43093,43093,True,8.539680000000001,,,,,
3039,3003,False,8.627056000000000,,,,,
3024,3024,True,8.64002800000000,,,,,
3022,3003,False,8.6877120000000,,,,,
3022,33909,False,8.80974800000000,,,,,
3022,33909,False,8.886293000000000,,,,,
3070,3070,True,8.490052000000000,,,,,
3001,3001,True,8.855930000000001,,,,,
33909,3022,False,8.541810999999999,,,,,
3003,3003,True,8.602611000000000,,,,,
3700,3700,True,8.664958000000000,,,,,
3038,99301,False,8.924574000000000,,,,,
4490,4490,True,8.952240000000000,,,,,
6632,27925,False,8.877470000000001,,,,,
3298,3298,True,9.458329000000001,,,,,
3037,3298,False,9.073520000000000,,,,,
3063,3063,True,8.837863000000000,,,,,
3022,3022,True,9.128584000000000,,,,,
2420,3022,False,8.577999000000000,,,,,
27925,27925,True,8.839893000000000,,,,,
3002,3046,False,8.884285999999999,,,,,
3005,3005,True,8.782693999999999,,,,,
4490,3005,False,8.504009999999999,,,,,
43857,43857,True,8.520771999999999,,,,,
4490,3622,False,8.63327100000000,,,,,
6143,6143,True,8.532465999999999,,,,,
14719,14719,True,8.5735920000000,,,,,
3038,3002,False,8.716016000000000,,,,,
3068,3068,True,8.669153000000000,,,,,
3023,43093,False,8.516503000000000,,,,,
3046,3003,False,8.672389000000001,,,,,
3001,3002,False,8.75346300000000,,,,,
3622,3622,True,8.593581000000000,,,,,
15672,15672,True,8.520142000000000,,,,,
3062,3062,True,8.598713999999999,,,,,
14719,6632,False,8.534401000000001,,,,,
3068,33909,False,8.52324900000000,,,,,
3024,3024,True,8.619225999999999,,,,,
3022,3022,True,8.53803500000000,,,,,
41678,41678,True,8.572709000000000,,,,,
3021,3068,False,8.570945999999999,,,,,
3045,3040,False,8.520175000000000,,,,,
99301,99301,True,8.708119000000000,,,,,
3069,3069,True,8.46171200000000,,,,,
3020,3020,True,8.643368000000001,,,,,
41677,3062,False,8.518165000000000,,,,,
3063,3063,True,8.506873000000001,,,,,
41678,41678,True,8.478770000000001,,,,,
3623,3623,True,8.529669999999999,,,,,
3021,3021,True,8.621874999999999,,,,,
3659,3622,False,8.532222000000001,,,,,
3794,3794,True,8.463582000000001,,,,,
15672,15672,True,8.67397200000000,,,,,
85984,3023,False,8.458047000000001,,,,,
3045,4286,False,8.58115800000000,,,,,
3068,3068,True,8.47248900000000,,,,,
3002,3002,True,8.66958700000000,,,,,
4274,4274,True,8.447483000000000,,,,,
3002,99301,False,8.663793000000000,,,,,
2420,2420,True,8.493757000000000,,,,,
3020,3037,False,8.631390000000000,,,,,
3002,3002,True,8.629841000000001,,,,,
3003,3046,False,8.63639500000000,,,,,
3045,3040,False,8.546051000000000,,,,,
3020,3020,True,8.53604000000000,,,,,
3003,3046,False,8.656874000000000,,,,,
54200,54200,True,8.559621999999999,,,,,
2357,2357,True,8.757123000000000,,,,,
4490,4490,True,8.859159000000000,,,,,
99301,3001,False,8.872564000000001,,,,,
3675,3675,True,8.75691300000000,,,,,
3001,3001,True,8.716407000000000,,,,,
3068,14719,False,8.577738000000000,,,,,
3005,3005,True,8.52137500000000,,,,,
2357,3003,False,8.623651000000001,,,,,
3659,3004,False,8.534408000000001,,,,,
3623,3623,True,8.579537999999999,,,,,
3063,3063,True,8.507139000000000,,,,,
3298,3021,False,8.710424000000000,,,,,
3675,4286,False,8.515847000000001,,,,,
3039,3045,False,8.581725000000000,,,,,
3675,3298,False,8.758860000000000,,,,,
3037,3038,False,8.733813000000000,,,,,
2780,2780,True,8.502605000000001,,,,,
3046,3039,False,8.58106000000000,,,,,
3622,3004,False,8.560893999999999,,,,,
3622,3622,True,8.592679000000000,,,,,
2420,14719,False,8.556606000000000,,,,,
3063,3063,True,8.556406000000001,,,,,
3037,3037,True,8.85275400000000,,,,,
3675,3675,True,8.694221000000001,,,,,
2420,2420,True,8.547572000000001,,,,,
3037,3037,True,8.685527000000000,,,,,
3298,3039,False,8.616023999999999,,,,,
15672,15672,True,8.531753999999999,,,,,
6143,6143,True,8.591502000000000,,,,,
3068,27925,False,8.463374999999999,,,,,
3040,2420,False,8.541028000000001,,,,,
3046,3040,False,8.541024000000000,,,,,
41678,43857,False,8.513658000000000,,,,,
3040,3045,False,8.505839000000000,,,,,
3001,3002,False,8.669245000000000,,,,,
3038,3039,False,8.509325000000000,,,,,
41678,41678,True,8.594956000000000,,,,,
2420,2420,True,8.508919000000001,,,,,
3020,3020,True,8.730589000000000,,,,,
2420,3794,False,8.494787000000001,,,,,
27925,27925,True,8.4907810000000,,,,,
3039,3046,False,8.566976000000000,,,,,
41678,41678,True,8.515985000000001,,,,,
43857,3005,False,8.470727999999999,,,,,
4490,4490,True,8.775499999999999,,,,,
3040,3023,False,8.683176000000000,,,,,
6143,6143,True,8.530980000000000,,,,,
3046,3003,False,8.710412000000000,,,,,
3010,3010,True,8.55136500000000,,,,,
3068,2780,False,8.475372000000000,,,,,
18654,18654,True,8.526358000000000,,,,,
3069,3069,True,8.45962900000000,,,,,
33909,3003,False,8.547800000000001,,,,,
2780,4274,False,8.433047999999999,,,,,
6632,2780,False,8.662089999999999,,,,,
2420,2420,True,8.476739000000000,,,,,
3023,3022,False,8.467955000000000,,,,,
3039,3039,True,8.600669000000000,,,,,
14719,6632,False,8.459113000000000,,,,,
3675,4490,False,8.583352000000000,,,,,
3002,3010,False,8.586961000000001,,,,,
18654,18654,True,8.453403000000000,,,,,
15672,3040,False,8.485795000000000,,,,,
3023,3023,True,8.454795000000001,,,,,
41677,41677,True,8.513194000000000,,,,,
3700,3700,True,8.580040000000000,,,,,
41677,41677,True,8.498789000000000,,,,,
3623,3023,False,8.491966000000000,,,,,
54200,54200,True,8.569478000000000,,,,,
3023,3005,False,8.67673600000000,,,,,
3675,3675,True,8.600384999999999,,,,,
2780,2780,True,8.753634000000000,,,,,
6143,6143,True,8.85632600000000,,,,,
33909,3022,False,8.61895800000000,,,,,
3622,3003,False,8.684547000000000,,,,,
3062,3062,True,8.572120999999999,,,,,
54200,54200,True,8.474621000000001,,,,,
3021,3021,True,8.72496200000000,,,,,
99301,3002,False,8.793944000000000,,,,,
3675,3675,True,8.574945000000000,,,,,
3020,3020,True,8.612633000000001,,,,,
3794,3023,False,8.40116600000000,,,,,
6143,6143,True,8.531393000000000,,,,,
3659,3659,True,8.560969000000000,,,,,
3062,18654,False,8.419981999999999,,,,,
3794,3794,True,8.499739999999999,,,,,
3022,33909,False,8.584837000000000,,,,,
3623,3021,False,8.493258000000001,,,,,
3045,4286,False,8.476086000000000,,,,,
3038,3038,True,8.62147300000000,,,,,
3002,3002,True,8.653347000000000,,,,,
3023,3023,True,8.479950000000001,,,,,
3005,3700,False,8.450692000000000,,,,,
4150,4150,True,8.596577000000000,,,,,
3022,33909,False,8.503081999999999,,,,,
3070,18654,False,8.409475000000000,,,,,
3002,3038,False,8.702014999999999,,,,,
43857,3794,False,8.438250999999999,,,,,
3063,27925,False,8.460231000000000,,,,,
18654,18654,True,8.451480999999999,,,,,
3069,6632,False,8.43173400000000,,,,,
3298,3298,True,8.529890000000000,,,,,
3700,3004,False,8.515752000000001,,,,,
3001,3002,False,8.753424000000001,,,,,
6632,14719,False,8.472303999999999,,,,,
6632,6632,True,8.467775000000000,,,,,
3004,3004,True,8.583024999999999,,,,,
3001,3001,True,8.684476999999999,,,,,
41677,41677,True,8.464375000000000,,,,,
3040,3040,True,8.430296999999999,,,,,
3021,3021,True,8.617853999999999,,,,,
4286,4286,True,8.485454000000001,,,,,
3005,3005,True,8.448019000000000,,,,,
3063,3700,False,8.492362000000000,,,,,
3069,3069,True,8.62295700000000,,,,,
3622,4490,False,8.489912000000000,,,,,
41678,43857,False,8.495813000000000,,,,,
3037,99301,False,8.647328999999999,,,,,
3040,3005,False,8.427270999999999,,,,,
4150,4150,True,8.44606900000000,,,,,
3004,3004,True,8.468629000000000,,,,,
3046,3003,False,8.512936000000000,,,,,
99301,99301,True,8.751677000000001,,,,,
3001,3010,False,8.6665780000000,,,,,
3063,3063,True,8.5083490000000,,,,,
2420,41677,False,8.47214200000000,,,,,
3037,3003,False,8.550993999999999,,,,,
4150,41677,False,8.461931000000000,,,,,
41678,41678,True,8.586610000000000,,,,,
4286,3622,False,8.489872999999999,,,,,
3003,3003,True,8.560373000000000,,,,,
3070,3070,True,8.555277000000000,,,,,
3298,3298,True,8.572898000000000,,,,,
18654,18654,True,8.425763999999999,,,,,
6632,6632,True,8.43801700000000,,,,,
3700,3700,True,8.60505200000000,,,,,
3700,3004,False,8.4758940000000,,,,,
54200,54200,True,8.457827000000000,,,,,
3038,3038,True,8.723679000000001,,,,,
6632,6632,True,8.463577000000001,,,,,
43857,43857,True,8.48453200000000,,,,,
3024,3024,True,8.41235100000000,,,,,
6632,6632,True,8.571635000000001,,,,,
43857,43857,True,8.490406999999999,,,,,
2780,43093,False,8.560988999999999,,,,,
3623,3623,True,8.582490000000000,,,,,
3003,3003,True,8.731000999999999,,,,,
4490,3003,False,8.496449999999999,,,,,
2780,2780,True,8.502819000000001,,,,,
2357,2357,True,8.549420000000000,,,,,
27925,27925,True,8.467574000000001,,,,,
3794,3062,False,8.451176000000000,,,,,
3020,3020,True,8.54332700000000,,,,,
3020,3002,False,8.586497000000000,,,,,
4274,4274,True,8.479270000000000,,,,,
14719,14719,True,8.41903000000000,,,,,
3003,3046,False,8.652778000000000,,,,,
33909,33909,True,8.484463999999999,,,,,
3046,3003,False,8.559994000000000,,,,,
3021,3021,True,8.558892000000000,,,,,
3298,3298,True,8.736770999999999,,,,,
3622,3002,False,8.645633999999999,,,,,
3659,3622,False,8.53769100000000,,,,,
3039,3003,False,8.59788200000000,,,,,
3045,3039,False,8.550508000000001,,,,,
14719,14719,True,8.484397000000000,,,,,
2420,14719,False,8.5584240000000,,,,,
3002,3622,False,8.60964600000000,,,,,
3024,18654,False,8.414942999999999,,,,,
3700,3063,False,8.483464000000000,,,,,
3794,3794,True,8.499451000000001,,,,,
3010,3659,False,8.53524400000000,,,,,
3675,3037,False,8.611120000000000,,,,,
6143,6143,True,8.511260999999999,,,,,
3020,33909,False,8.449054000000000,,,,,
3794,3794,True,8.461943000000000,,,,,
6143,6143,True,8.505758999999999,,,,,
2420,14719,False,8.534269000000000,,,,,
3794,3794,True,8.432029999999999,,,,,
3675,3675,True,8.748080000000000,,,,,
27925,27925,True,8.472791000000001,,,,,
3022,6632,False,8.498514000000000,,,,,
3068,3068,True,8.48405600000000,,,,,
3003,3003,True,8.512007000000001,,,,,
3024,3024,True,8.453823999999999,,,,,
3023,3023,True,8.437721000000000,,,,,
3010,3010,True,8.571166000000000,,,,,
3003,3003,True,8.630091999999999,,,,,
3021,3623,False,8.492407000000000,,,,,
6632,6632,True,8.5348380000000,,,,,
3021,3022,False,8.54263700000000,,,,,
3794,3794,True,8.501783000000000,,,,,
3037,3037,True,8.687049000000000,,,,,
3005,3005,True,8.45423400000000,,,,,
3623,3623,True,8.516057000000000,,,,,
2780,2780,True,8.475230000000000,,,,,
54200,3070,False,8.448096000000000,,,,,
99301,99301,True,8.629239000000000,,,,,
3045,4286,False,8.481470000000000,,,,,
3010,4490,False,8.603759999999999,,,,,
3675,3675,True,8.697376000000000,,,,,
3045,3045,True,8.571714000000000,,,,,
4274,4274,True,8.473338999999999,,,,,
4150,4150,True,8.491296000000000,,,,,
41678,41678,True,8.528335000000000,,,,,
3623,6632,False,8.518490000000000,,,,,
4150,43093,False,8.463176000000001,,,,,
18654,18654,True,8.417037000000001,,,,,
18654,18654,True,8.568292000000000,,,,,
3021,3021,True,8.997697000000001,,,,,
3622,4490,False,8.543298000000000,,,,,
2420,2780,False,8.634758000000000,,,,,
3040,3040,True,8.77025300000000,,,,,
3070,3070,True,8.463644000000000,,,,,
27925,3070,False,8.462324000000001,,,,,
3046,3039,False,8.563573999999999,,,,,
3062,3062,True,8.60033100000000,,,,,
3038,3038,True,8.657287000000000,,,,,
3001,3010,False,8.58746100000000,,,,,
3040,15672,False,8.530571999999999,,,,,
3003,3063,False,8.546557000000000,,,,,
3010,3010,True,8.636956000000000,,,,,
3022,27925,False,8.44738200000000,,,,,
18654,18654,True,8.576147000000001,,,,,
18654,18654,True,8.464791000000000,,,,,
3063,4150,False,8.488853000000001,,,,,
3003,3039,False,8.700308000000000,,,,,
3068,3068,True,8.48944100000000,,,,,
3040,3040,True,8.52162000000000,,,,,
18654,18654,True,8.440047000000000,,,,,
3020,3038,False,8.749960000000000,,,,,
3622,2357,False,8.520058000000001,,,,,
3622,3622,True,8.60204600000000,,,,,
18654,18654,True,8.539085999999999,,,,,
33909,3004,False,8.526185999999999,,,,,
43857,3005,False,8.497372000000000,,,,,
2420,3023,False,8.494707999999999,,,,,
3700,3004,False,8.583971000000000,,,,,
15672,15672,True,8.486796000000000,,,,,
3046,3003,False,8.503202000000000,,,,,
3001,3001,True,8.825328000000001,,,,,
4490,3622,False,8.533631000000000,,,,,
2357,3002,False,8.573333000000000,,,,,
41678,3023,False,8.486575000000000,,,,,
27925,27925,True,8.60443600000000,,,,,
2420,3794,False,8.522567000000000,,,,,
18654,18654,True,8.406447999999999,,,,,
41677,41677,True,8.643962000000000,,,,,
3062,3062,True,8.439056000000001,,,,,
3038,3022,False,8.588485000000000,,,,,
3700,3700,True,8.488310000000000,,,,,
85984,3794,False,8.824698000000000,,,,,
3070,3070,True,8.429732000000000,,,,,
99301,99301,True,8.67393400000000,,,,,
14719,14719,True,8.502324000000000,,,,,
27925,41677,False,8.500025000000001,,,,,
3675,3038,False,8.5742510000000,,,,,
3022,33909,False,8.503092000000001,,,,,
3005,43857,False,8.607346000000000,,,,,
3038,3038,True,8.61695700000000,,,,,
2420,3623,False,8.46616500000000,,,,,
85984,85984,True,8.532817000000000,,,,,
85984,85984,True,8.48612400000000,,,,,
27925,27925,True,8.440521000000000,,,,,
3021,3021,True,8.63791300000000,,,,,
3622,4490,False,8.643312000000000,,,,,
3010,3010,True,8.582203000000000,,,,,
3069,3070,False,8.446733000000000,,,,,
4150,4150,True,8.564908000000001,,,,,
3700,3700,True,8.522107999999999,,,,,
3022,3022,True,8.510103000000001,,,,,
14719,14719,True,8.561517000000000,,,,,
41678,41678,True,8.616842000000000,,,,,
33909,3022,False,8.570778000000001,,,,,
3004,3040,False,8.505229000000000,,,,,
3700,3700,True,8.611806000000000,,,,,
3003,3003,True,8.499053999999999,,,,,
4274,4274,True,8.521141999999999,,,,,
41678,3069,False,8.461672000000000,,,,,
14719,14719,True,8.653349000000000,,,,,
3063,3063,True,8.536790000000000,,,,,
2420,14719,False,8.662982000000000,,,,,
6143,6143,True,8.766871000000000,,,,,
43093,4274,False,8.471374000000001,,,,,
43857,43857,True,8.619149000000000,,,,,
3024,3024,True,8.464410000000001,,,,,
3040,15672,False,8.540732999999999,,,,,
3675,3675,True,8.923325999999999,,,,,
3023,3623,False,8.652951000000000,,,,,
3046,3003,False,8.785650000000000,,,,,
43857,18654,False,8.682987000000001,,,,,
3024,3024,True,8.527507000000000,,,,,
14719,14719,True,8.61546800000000,,,,,
27925,27925,True,8.52944800000000,,,,,
14719,43857,False,8.71329600000000,,,,,
3037,3020,False,8.723634000000001,,,,,
3010,3010,True,8.667942999999999,,,,,
4286,4286,True,8.549650000000000,,,,,
3022,3022,True,8.515012000000000,,,,,
3004,3623,False,8.574075000000001,,,,,
3003,3003,True,8.685309000000000,,,,,
3040,15672,False,8.55745800000000,,,,,
3069,43093,False,8.519439000000000,,,,,
3659,3622,False,8.779458000000000,,,,,
2780,2780,True,8.697639000000001,,,,,
6632,6632,True,8.772123000000001,,,,,
14719,3069,False,8.748571000000000,,,,,
3022,3700,False,8.766560000000000,,,,,
2357,3003,False,8.53205400000000,,,,,
41678,33909,False,8.572960999999999,,,,,
3062,18654,False,8.681480000000001,,,,,
4274,4274,True,8.730561000000000,,,,,
4490,3622,False,8.602300000000000,,,,,
3675,3675,True,8.833301000000001,,,,,
3040,4286,False,8.491372000000000,,,,,
41677,41677,True,8.516503999999999,,,,,
3001,3001,True,8.811908000000001,,,,,
3063,3063,True,8.732614000000000,,,,,
4286,4286,True,8.586375000000000,,,,,
3021,3021,True,8.706281000000001,,,,,
4286,3045,False,8.612461000000000,,,,,
4490,4490,True,8.661381000000000,,,,,
3070,4274,False,8.438590000000000,,,,,
3700,3004,False,8.586786000000000,,,,,
3622,3622,True,8.590026000000000,,,,,
3794,6632,False,8.502934000000000,,,,,
3003,3298,False,8.527119000000001,,,,,
27925,3023,False,8.500493000000001,,,,,
2420,2420,True,8.664743000000000,,,,,
3020,3010,False,8.783690999999999,,,,,
3010,4490,False,8.53760800000000,,,,,
4286,3004,False,8.50288500000000,,,,,
3002,3002,True,8.595017000000000,,,,,
3004,3010,False,8.735797000000000,,,,,
2780,43093,False,8.629611000000001,,,,,
3063,3063,True,8.668695000000000,,,,,
3623,6632,False,8.686719000000000,,,,,
3040,3040,True,8.72258400000000,,,,,
2357,3046,False,8.70173200000000,,,,,
4490,3700,False,8.563038000000001,,,,,
3037,3001,False,8.700082999999999,,,,,
6143,6143,True,8.663917000000000,,,,,
3023,3024,False,8.636377000000000,,,,,
3004,3004,True,8.606320000000000,,,,,
6143,6143,True,8.52357000000000,,,,,
3659,3040,False,8.586432000000000,,,,,
2420,3022,False,8.483108000000000,,,,,
3063,27925,False,8.546958999999999,,,,,
6632,6632,True,8.460591000000001,,,,,
3046,3003,False,8.656079000000000,,,,,
4490,4490,True,8.648476000000000,,,,,
3070,3070,True,8.510382000000000,,,,,
3022,3003,False,8.740269000000000,,,,,
99301,3622,False,8.696723000000000,,,,,
41677,41677,True,8.55864700000000,,,,,
3068,3022,False,8.607529000000000,,,,,
4490,4490,True,8.597413000000000,,,,,
2780,2780,True,8.510444000000000,,,,,
3623,3623,True,8.604646000000001,,,,,
3068,33909,False,8.693349000000000,,,,,
3003,3046,False,8.622121000000000,,,,,
3039,3046,False,8.545807999999999,,,,,
3021,3021,True,8.775005000000000,,,,,
43093,43093,True,8.536879000000001,,,,,
3023,3794,False,8.534254000000001,,,,,
4274,4274,True,8.461555000000001,,,,,
3023,3023,True,8.657498000000000,,,,,
